id;login;rating;num_games;filteredRanking;ranking
221502;FireMyth;756;162;395;697
61677;Worminator;755;158;396;698
434;ttplayer;753;3053;397;703
15762;Androish;752;93;398;704
18604;sodisodisodi;752;48;399;705
74389;hussi130;752;159;400;706
192349;Yofa;752;70;401;708
15223;ccb80;750;449;402;709
165531;MikZZ;749;130;403;711
57748;Kitt3ns;748;534;404;712
142354;Havran0002;748;783;405;713
77445;Ur8Aby;746;449;406;715
18473;Aus_Pol;745;934;407;717
126918;Sparrow;745;4475;408;719
102103;kikobyte;744;61;409;722
69096;Exotic_Nautilus;743;102;410;725
97205;CanadianAtheist;743;298;411;727
10368;iliis;742;142;412;730
32797;Cyborg16;739;141;413;732
162869;Salmonpat;739;165;414;733
47593;Blackfart;735;482;415;737
46655;Hos7il3;733;1206;416;740
15955;FLOOD;732;4334;417;741
62276;Col_InfernoFlash;731;1035;418;743
98665;X_Shogun_X;731;63;419;744
183670;CrusMissle;731;338;420;745
179424;Xenogears;729;332;421;747
206466;worstofall;729;102;422;748
46546;jancic996;724;124;423;755
112454;reptiloid;724;45;424;756
15169;Tee;723;3001;425;758
78843;HondaKiller;720;494;426;762
156821;Sonny;720;50;427;763
116134;Momolord;719;146;428;765
8654;tatsu;715;1061;429;768
41618;Hendrix;712;609;430;775
33286;BillsFanNC;711;716;431;777
190751;Redeye94;711;149;432;779
88648;Aby;709;500;433;783
124939;The_Mini_Ken;709;59;434;785
181521;McKra;709;186;435;786
147699;ColososCro;706;115;436;792
112345;Katharsas;704;286;437;797
209537;ainaga;704;121;438;798
2642;nemir;703;4216;439;799
104668;The_Crazy_Asian;701;142;440;803
213899;the_Arkain;701;78;441;805
195207;Lockmad;700;500;442;806
208782;KamikazeNoob;699;93;443;807
31779;Crashy;698;213;444;808
100544;OnlyMostlyHere;697;43;445;810
1294;K-hole;695;840;446;814
35490;BlueCybrans;695;231;447;815
61507;Gurkengarnierung;694;175;448;818
200658;MohoMine;693;51;449;821
71606;THEALPHA;692;382;450;825
78414;hell0;692;432;451;826
80406;vanel;692;578;452;827
79927;iMorbit;691;434;453;828
75704;Byrne;690;87;454;831
142688;omix;689;51;455;835
75773;RedOrion;683;143;456;847
128418;Daandric;676;50;457;864
156542;Tenuki;675;706;458;869
14669;CCF;673;188;459;870
131095;Spectrum;672;165;460;872
141169;Crispywonton;670;707;461;877
228312;Krum;669;52;462;883
105170;RIP_Rabbit;664;431;463;898
225678;Nani_Sore_;664;87;464;900
28275;Guy;663;367;465;901
204742;Welovenukes;663;90;466;903
70149;DrOidio;662;1155;467;905
169115;SouthernsourNoob;662;61;468;906
179624;PettyGrudge;661;161;469;908
33118;Sadalsuud;660;113;470;909
148271;DAXIAN;659;737;471;913
98276;Terren;656;53;472;921
25547;zoom2yas;655;344;473;924
104519;mrBURN;652;338;474;926
67291;DonGringo;650;382;475;929
102037;the_trash_man;649;205;476;931
104022;Qrzychu;648;207;477;932
192062;Harper;648;71;478;933
108678;xXChaosXx;647;276;479;936
120953;Stormdrake;647;195;480;937
139276;RooSaS;645;79;481;943
